Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Expense Type,Expense Area
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Falmouth Uni,GPROSTD319680,"937,492.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Falmouth Uni,GPROSTD321948,"37,936.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Farnborough College,GPROSTD319698,"162,854.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Gateshead College,GPROSTD319716,"83,962.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Gloucestershire Coll,GPROSTD319734,"86,416.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Goldsmiths College,GPROSTD319743,"919,338.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Goldsmiths College,GPROSTD321966,"723,404.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Goldsmiths College,GPROSTD323112,"27,618.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Goldsmiths College,GPROSTD331283,"60,794.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Grimsby Institute,GPROSTD319761,"357,945.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Grimsby Institute,GPROSTD331424,"55,826.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Guildford College,GPROSTD319770,"106,361.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Guildhall Sch M & D,GPROSTD311942,"56,000.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Guildhall Sch M & D,GPROSTD319779,"156,110.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Guildhall Sch M & D,GPROSTD323136,"25,468.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Harper Adams Uni,GPROSTD319833,"1,023,617.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Harper Adams Uni,GPROSTD321993,"25,186.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Harper Adams Uni,GPROSTD327682,"209,286.00",Catalyst Fund Cap,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Harper Adams Uni,GPROSTD331286,"47,491.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Hartpury College,GPROSTD319842,"38,695.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Havering College,GPROSTD319860,"244,746.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,HE Academy,GPROSTD326403,"1,050,000.00",HE Academy,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,HE Academy,GPROSTD331240,"510,000.00",Nat Teaching Fellows,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Henley College,GPROSTD319869,"41,190.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Hereford Coll of Art,GPROSTD319878,"76,820.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Heythrop College,GPROSTD319905,"79,607.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Highbury College,GPROSTD319914,"41,158.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Hopwood Hall College,GPROSTD319932,"33,581.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Hull College,GPROSTD319959,"322,945.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD263907,"29,405.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD310333,"29,405.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD310342,"29,405.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD319977,"4,074,994.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD322038,"8,827,639.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD323184,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Imperial College,GPROSTD331291,"92,953.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Inst Cancer Research,GPROSTD319221,"58,091.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Inst Cancer Research,GPROSTD321759,"1,479,289.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Inst Cancer Research,GPROSTD322884,"58,641.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Inst of Education,GPROSTD319644,"299,605.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Inst of Education,GPROSTD321921,"697,052.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Inst of Education,GPROSTD323052,"85,153.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,JISC,GPROSTD327667,"1,928,106.00",JISC,JISC NAH
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Keele University,GPROSTD319986,"1,515,706.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Keele University,GPROSTD322047,"548,314.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Keele University,GPROSTD323196,"62,330.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Keele University,GPROSTD331292,"151,169.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,King's College,GPROSTD259318,"30,217.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,King's College,GPROSTD320031,"5,196,398.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,King's College,GPROSTD322065,"5,127,869.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,King's College,GPROSTD323220,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,King's College,GPROSTD326476,"25,000.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kingston College,GPROSTD320022,"36,511.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kingston University,GPROSTD320040,"3,993,544.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kingston University,GPROSTD322074,"272,713.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kingston University,GPROSTD323232,"75,982.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kingston University,GPROSTD331295,"108,825.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kirklees College,GPROSTD320058,"53,891.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Kirklees College,GPROSTD331441,"31,243.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lakes College,GPROSTD320076,"77,328.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lancaster University,GPROSTD314803,"32,956.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lancaster University,GPROSTD320085,"1,559,893.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lancaster University,GPROSTD322083,"1,578,571.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lancaster University,GPROSTD323244,"184,531.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lancaster University,GPROSTD331296,"63,265.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leader Foundation HE,GPROSTD326394,"75,000.00",Leaders Foundation,LGM
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leader Foundation HE,GPROSTD326826,"25,000.00",Promoting Efficiency,LGM
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds City College,GPROSTD320130,"358,974.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds College of Art,GPROSTD320103,"252,657.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds Met University,GPROSTD320121,"3,470,120.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds Met University,GPROSTD322101,"155,118.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds Met University,GPROSTD323268,"125,200.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds Met University,GPROSTD331299,"381,920.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds Trinity Uni,GPROSTD321336,"310,565.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leeds Trinity Uni,GPROSTD331300,"58,177.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Leicester College,GPROSTD320139,"65,636.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Lincoln College,GPROSTD320175,"48,593.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool Com Colleg,GPROSTD319392,"92,283.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool Hope Uni,GPROSTD320193,"963,238.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool Hope Uni,GPROSTD322137,"26,232.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool Hope Uni,GPROSTD323316,"57,119.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool Inst PA,GPROSTD320211,"205,942.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool John Moore,GPROSTD320184,"3,671,274.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool John Moore,GPROSTD322128,"319,445.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool John Moore,GPROSTD323304,"161,916.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Liverpool John Moore,GPROSTD331305,"56,808.00",Teaching 12-13,E&P policy team
