Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction no,Amount
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Nottingham Trent Uni,GPROSTD320602,"4,423,115.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Nottingham Trent Uni,GPROSTD322312,"422,588.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Nottingham Trent Uni,GPROSTD323500,"70,524.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Nottingham Trent Uni,GPROSTD325936,"121,970.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Notts LEA,GPROSTD314550,"58,965.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,N Warwick & Hinckley,GPROSTD320557,"66,045.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Open University,GPROSTD320629,"13,851,029.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Open University,GPROSTD322330,"1,066,108.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Open University,GPROSTD323524,"79,135.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Open University,GPROSTD325945,"1,626,268.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Oxford Brookes Univ,GPROSTD320656,"2,540,996.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Oxford Brookes Univ,GPROSTD322357,"376,907.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Oxford Brookes Univ,GPROSTD323560,"136,417.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Oxford Brookes Univ,GPROSTD325954,"73,729.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Oxfordshire LEA,GPROSTD314552,"36,598.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Plymouth Coll of Art,GPROSTD320728,"181,211.00"
BIS,HEFCE,14/01/2013,Quality Assurance,E&P policy team,QAA,GPROSTD326549,"503,222.00"
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,"Queen Mary, UoL",GPROSTD273169,"29,405.00"
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,"Queen Mary, UoL",GPROSTD273179,"29,405.00"
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,"Queen Mary, UoL",GPROSTD308904,"29,405.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,"Queen Mary, UoL",GPROSTD320755,"4,648,225.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,"Queen Mary, UoL",GPROSTD322384,"3,411,994.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,"Queen Mary, UoL",GPROSTD323596,"237,405.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,"Queen Mary, UoL",GPROSTD325987,"51,302.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Ravensbourne College,GPROSTD320764,"596,207.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,RCSSD,GPROSTD319270,"416,052.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,RCSSD,GPROSTD321781,"34,696.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Riverside Col Halton,GPROSTD319810,"116,105.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Roehampton Uni,GPROSTD320800,"1,525,231.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Roehampton Uni,GPROSTD322402,"249,266.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Roehampton Uni,GPROSTD323620,"38,418.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Roehampton Uni,GPROSTD326005,"52,877.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Rose Bruford College,GPROSTD320809,"306,987.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Rotherham Coll A&T,GPROSTD320818,"53,782.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal Academy Music,GPROSTD320836,"369,132.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Royal Academy Music,GPROSTD322429,"47,290.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal Agricultural,GPROSTD320827,"403,675.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal College Music,GPROSTD320854,"380,711.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Royal College Music,GPROSTD322447,"45,792.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Royal College of Art,GPROSTD320845,"823,382.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Royal College of Art,GPROSTD322438,"257,639.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Royal College of Art,GPROSTD323632,"25,058.00"
