Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Imperial College,GPROSTD319975,"4,935,908.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Imperial College,GPROSTD322036,"10,692,634.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Imperial College,GPROSTD323182,"237,405.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Inst Cancer Research,GPROSTD317880,"853,839.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Inst Cancer Research,GPROSTD319219,"70,364.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Inst Cancer Research,GPROSTD321757,"1,791,815.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Inst Cancer Research,GPROSTD322882,"58,570.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Inst of Education,GPROSTD317520,"38,372.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Inst of Education,GPROSTD317893,"487,658.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Inst of Education,GPROSTD319642,"362,902.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Inst of Education,GPROSTD321919,"844,317.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Inst of Education,GPROSTD323050,"85,051.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,Inst of Education,GPROSTD327482,"40,000.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,JANET UK,GPROSTD327478,"2,971,773.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,JANET UK,GPROSTD327495,"5,555,000.00"
BIS,HEFCE,15/11/2012,JISC Capital,JISC NAH,JANET UK,GPROSTD327500,"2,552,500.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,JISC Advance,GPROSTD327452,"1,862,144.00"
BIS,HEFCE,15/11/2012,SS UMF,Finance,JISC Collections,GPROSTD324750,"33,486.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,JISC Collections,GPROSTD327453,"511,746.00"
BIS,HEFCE,15/11/2012,SS UMF,Finance,JISC Collections,GPROSTD327509,"105,303.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Keele University,GPROSTD317533,"105,330.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Keele University,GPROSTD317905,"274,747.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Keele University,GPROSTD319984,"1,835,927.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Keele University,GPROSTD322045,"664,155.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Keele University,GPROSTD323194,"62,255.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,King's College,GPROSTD259823,"29,405.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,King's College,GPROSTD262161,"29,405.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,King's College,GPROSTD284230,"29,405.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,King's College,GPROSTD317535,"263,005.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,King's College,GPROSTD317907,"2,891,248.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,King's College,GPROSTD320029,"6,294,229.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,King's College,GPROSTD322063,"6,211,222.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,King's College,GPROSTD323218,"237,405.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Kingston College,GPROSTD320020,"44,225.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Kingston University,GPROSTD317536,"255,833.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Kingston University,GPROSTD317908,"98,148.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Kingston University,GPROSTD320038,"4,837,251.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Kingston University,GPROSTD322072,"330,329.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Kingston University,GPROSTD323230,"75,891.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Kirklees College,GPROSTD320056,"65,276.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Kirklees LEA,GPROSTD314346,"32,380.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Lakes College,GPROSTD320074,"93,665.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Lancashire LEA,GPROSTD314347,"55,075.00"
BIS,HEFCE,15/11/2012,Revolving Green Fund,RIS policy team,Lancaster University,GPROSTD313234,"69,809.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,Lancaster University,GPROSTD314798,"32,955.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Lancaster University,GPROSTD317537,"111,785.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Lancaster University,GPROSTD317909,"800,186.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Lancaster University,GPROSTD320083,"1,889,448.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Lancaster University,GPROSTD322081,"1,912,073.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Lancaster University,GPROSTD323242,"184,310.00"
BIS,HEFCE,15/11/2012,Leaders Foundation,LGM,Leader Foundation HE,GPROSTD326389,"75,000.00"
BIS,HEFCE,15/11/2012,CLL,E&P policy team,Leader Foundation HE,GPROSTD326441,"109,000.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Leeds City College,GPROSTD318267,"53,104.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Leeds City College,GPROSTD320128,"434,813.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Leeds City College,GPROSTD326349,"25,000.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Leeds College of Art,GPROSTD317540,"26,679.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Leeds College of Art,GPROSTD320101,"306,035.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Leeds LEA,GPROSTD314348,"69,807.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Leeds Met University,GPROSTD317539,"233,924.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Leeds Met University,GPROSTD317911,"50,968.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Leeds Met University,GPROSTD320119,"4,203,244.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Leeds Met University,GPROSTD322099,"187,889.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Leeds Met University,GPROSTD323266,"125,050.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Leeds Trinity Uni Co,GPROSTD317541,"33,570.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Leeds Trinity Uni Co,GPROSTD321334,"376,178.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Leicester College,GPROSTD320137,"79,502.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Leics LEA,GPROSTD314349,"73,861.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Lincoln College,GPROSTD320173,"58,859.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Liverpool Com Colleg,GPROSTD319390,"111,779.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Liverpool Hope Uni,GPROSTD317545,"78,807.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Liverpool Hope Uni,GPROSTD320191,"1,166,739.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Liverpool Hope Uni,GPROSTD322135,"31,775.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Liverpool Hope Uni,GPROSTD323314,"57,050.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Liverpool Inst PA,GPROSTD320209,"249,451.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Liverpool John Moore,GPROSTD317546,"247,324.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Liverpool John Moore,GPROSTD317914,"245,600.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Liverpool John Moore,GPROSTD320182,"4,446,896.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Liverpool John Moore,GPROSTD322126,"386,934.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Liverpool John Moore,GPROSTD323302,"161,721.00"
BIS,HEFCE,15/11/2012,SS UMF,Finance,Liverpool John Moore,GPROSTD327504,"75,000.00"
