Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Salford,GPROSTD362207,"134,055.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Salford,GPROSTD363098,"44,684.00"
BIS,HEFCE,16/07/2015,PSS 2014-15,E&P policy team,Uni of Sheffield,GPROSTD346845,"498,947.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Sheffield,GPROSTD357644,"2,492,169.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Sheffield,GPROSTD359201,"4,073,022.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Sheffield,GPROSTD362225,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Sheffield,GPROSTD363116,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Sheffield,GPROSTD372421,"377,950.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Sheffield,GPROSTD375017,"153,611.00"
BIS,HEFCE,16/07/2015,Catalyst Fund  (R),RIS policy team,Uni of Southampton,GPROSTD343258,"252,500.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Southampton,GPROSTD357716,"1,915,333.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Southampton,GPROSTD359219,"3,998,949.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Southampton,GPROSTD362243,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Southampton,GPROSTD363134,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Sunderland,GPROSTD357914,"608,117.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Sunderland,GPROSTD359264,"174,438.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Sunderland,GPROSTD362270,"77,541.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Sunderland,GPROSTD363161,"25,847.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Sunderland,GPROSTD372533,"193,053.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Sunderland,GPROSTD375129,"32,690.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Warwick,GPROSTD358076,"1,380,319.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Warwick,GPROSTD359327,"3,043,323.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Warwick,GPROSTD362324,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Warwick,GPROSTD363215,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Warwick,GPROSTD372605,"86,253.00"
BIS,HEFCE,16/07/2015,UKRPIF,Finance,Uni of Warwick,GPROSTD375320,"3,625,000.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of West London,GPROSTD357986,"490,638.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of West London,GPROSTD359300,"42,542.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of West London,GPROSTD362306,"46,254.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of West London,GPROSTD372565,"93,244.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of West London,GPROSTD375161,"68,253.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Westminster,GPROSTD358121,"1,366,275.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Westminster,GPROSTD359345,"365,859.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Westminster,GPROSTD362342,"93,773.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Westminster,GPROSTD363233,"31,257.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Westminster,GPROSTD372629,"202,867.00"
