Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Type,Expenditure Type,
HMRC,HMRC,02/11/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£5,158.43",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£8,306.71",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£11,335.33",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£11,904.37",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£16,171.13",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£16,616.20",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£24,597.02",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£27,081.75",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£29,011.25",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£43,610.19",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£59,510.52",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£87,235.05",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£129,134.34",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£152,309.02",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£181,789.08",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£954,392.67",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,03/11/2015,Debt coll serv (DEL),Debt Management & Banking,ROSSENDALES LTD,5100060653,"£28,225.18",Debt Collection Services,BB4 4NB,,,,,
HMRC,HMRC,03/11/2015,Non-IMS IT for CSR,Civil Service Resourcing,WORLD CAREERS NETWORK PLC,5100060835,"£115,873.20",Stage 1 and Stage 2 costs for the HMRC 2016 Tax Profession Graduate Recruitment online tests.,SW19 8DR,,,,,
HMRC,HMRC,03/11/2015,Recruitment services,Civil Service Resourcing,SPECIALIST COMPUTER CTR,5100060901,"£72,401.05",Specialist Computer Centre (SCC) is the main IT contractor for the Civil Service Fast Stream intake. Invoice covers monthly support and maintenance for October 2015,B11 2LE,,,,,
HMRC,HMRC,03/11/2015,Haulage Seized Goods,Criminal Investigations,TNT UK LTD,5100060924,"£75,480.76",Courier Services,BL8 9AR,,,,,
