DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|London Sch Hygiene|GPROSTD378405|28,084.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|London Sch Hygiene|GPROSTD380510|498,805.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|London Sch Hygiene|GPROSTD382248|115,000.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|London South Bank|GPROSTD367454|63,615.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|London South Bank|GPROSTD369705|95,027.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|London South Bank|GPROSTD370910|40,309.33
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|London South Bank|GPROSTD376526|272,991.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|London South Bank|GPROSTD377523|61,107.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|London South Bank|GPROSTD380528|1,708,249.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|London South Bank|GPROSTD382250|300,000.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Loughborough College|GPROSTD380546|91,863.00
BIS|HEFCE|17/08/2015|Catalyst Fund  (R)|RIS policy team|Loughborough Uni|GPROSTD343142|104,250.00
BIS|HEFCE|17/08/2015|SIVS|E&P policy team|Loughborough Uni|GPROSTD343287|65,071.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Loughborough Uni|GPROSTD369708|136,540.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Loughborough Uni|GPROSTD370912|700,394.00
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Loughborough Uni|GPROSTD375573|1,250,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Loughborough Uni|GPROSTD376544|2,689,452.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Loughborough Uni|GPROSTD377541|276,038.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Loughborough Uni|GPROSTD378441|92,012.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Loughborough Uni|GPROSTD380555|1,446,904.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Loughborough Uni|GPROSTD382252|535,000.00
