DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|EXPENSETYPE2|EXPENSEAREA
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD314805|32,956.00|SDF Recurrent|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD320087|1,559,893.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD322085|1,578,571.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD323246|184,531.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD331874|63,265.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leader Foundation HE|GPROSTD326396|75,000.00|Leaders Foundation|LGM
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leader Foundation HE|GPROSTD326827|79,000.00|Promoting Efficiency|LGM
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds City College|GPROSTD320132|358,973.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds College of Art|GPROSTD320105|252,657.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds Met University|GPROSTD320123|3,470,119.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds Met University|GPROSTD322103|155,117.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds Met University|GPROSTD323270|125,199.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds Met University|GPROSTD331877|381,920.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds Trinity Uni|GPROSTD321338|310,565.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leeds Trinity Uni|GPROSTD331878|58,177.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Leicester College|GPROSTD320141|65,636.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lincoln College|GPROSTD320177|48,593.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool Com Colleg|GPROSTD319394|92,282.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool Hope Uni|GPROSTD320195|963,238.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool Hope Uni|GPROSTD322139|26,232.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool Hope Uni|GPROSTD323318|57,119.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool Inst PA|GPROSTD320213|205,942.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool John Moore|GPROSTD320186|3,671,274.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool John Moore|GPROSTD322130|319,445.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool John Moore|GPROSTD323306|161,916.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Liverpool John Moore|GPROSTD331883|56,808.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Bus School|GPROSTD322175|318,877.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Bus School|GPROSTD323354|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Met Uni|GPROSTD320267|2,957,702.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Met Uni|GPROSTD322202|248,513.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Met Uni|GPROSTD323378|129,042.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London PFA|GPROSTD333871|63,584.06|Inherited Staff|Finance
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Sch Economics|GPROSTD320249|523,146.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Sch Economics|GPROSTD322184|1,488,645.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Sch Economics|GPROSTD323366|140,737.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Sch Hygiene|GPROSTD320258|311,907.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London Sch Hygiene|GPROSTD322193|1,611,274.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London South Bank|GPROSTD320276|2,468,538.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London South Bank|GPROSTD322211|175,240.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London South Bank|GPROSTD323390|67,347.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|London South Bank|GPROSTD331892|115,017.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Loughborough College|GPROSTD320294|162,584.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Loughborough College|GPROSTD332027|32,969.00|Teaching 12-13|E&P policy team
