Department	Entity	Date	Expense Type	Expense Area	Supplier	Transaction Number	Amount	Expense Type 2	Expense Area 2	Description	Supplier Postcode	Period
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207698	30,660.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207699	30,660.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207700	30,660.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207701	29,404.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207702	29,404.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207703	29,404.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207704	29,404.00			
BIS	HEFCE	04/04/2012	Capital for FECs	E&P policy team	City Coll Manchester	GPROSTD211603	29,980.00			
BIS	HEFCE	04/04/2012	Capital for FECs	E&P policy team	City Coll Manchester	GPROSTD211605	29,980.00			
BIS	HEFCE	04/04/2012	Capital for FECs	E&P policy team	City Coll Manchester	GPROSTD211606	29,980.00			
BIS	HEFCE	04/04/2014	Rates	Facilities Managemen	City of London	PIS3466	43,010.00			
BIS	HEFCE	04/04/2014	Rates	Facilities Managemen	South Glos Council	PIS3465	145,805.00			
BIS	HEFCE	04/07/2012	Audit fees	Central	NAO	PIS1992	36,000.00			
BIS	HEFCE	04/07/2012	Innovations Grp	JISC KCL	King's College	PIS1996	168,824.01			
BIS	HEFCE	04/07/2012	Payroll control	Running costs	Cabinet Office PCSPS	PIS1983	167,875.15			
BIS	HEFCE	04/07/2013	Premises costs	Facilities Managemen	Uni West of England	PIS2806	221,772.44			
BIS	HEFCE	04/07/2014	PD - research	R,,E & KE	NatCen	PIC678	81,818.40			
BIS	HEFCE	04/07/2014	Software maintenance	ITS	Hewlett Packard Ltd	PIS3646	78,046.42			
BIS	HEFCE	04/07/2015	PD - research	R,,E & KE	Pye Tait Consulting	PIC755	32,484.00			
BIS	HEFCE	04/08/2015	Premises costs	Facilities Managemen	GAD	PIS5334	68,506.66			
BIS	HEFCE	04/08/2015	SLA income	Central	HM Revenue & Customs	PIS5336	34,663.49			
BIS	HEFCE	04/09/2012	Payroll control	Running costs	Cabinet Office PCSPS	PIS2157	169,922.96			
BIS	HEFCE	04/09/2015	Software maintenance	ITS	JISC Services Ltd	PIS5230	38,741.81			
BIS	HEFCE	05/02/2016	PD - research	R,,E & KE	King's College	PIS5775	49,476.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206335	27,110.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206336	27,110.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206337	27,110.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206338	27,110.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206339	27,110.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206340	27,110.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206341	25,999.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206342	25,998.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206343	25,998.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Dartington College	GPROSTD206344	25,998.00			
BIS	HEFCE	05/04/2012	Basic - R	RIS policy team	Kent Institute	GPROSTD20075	25,208.00			
