Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2016,Office Stationery,People Places & Serv Direct,Coopers,H57720160112grmdfedqf,95.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160112caasbcdrw,10.47,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160109kgcgwolqe,21.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/01/2016,Office Stationery,People Places & Serv Direct,W T Laminates,H57720160109gmoidiwxc,928.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Seminars and Confereces,People Places & Serv Direct,Sparkol,H57720160108viflnword,115.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Stationery,People Places & Serv Direct,Newport Locksmiths Ltd,H57720160108fslrjkwew,67.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Retail,H57720160108rnxcvkoen,29.35,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Stationery,People Places & Serv Direct,Screwfix Direct,H57720160108pvcvkgujf,59.85,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Career Development Services,People Places & Serv Direct,"Amazon Svcs Europe,sar",H57720160106slngbxvol,13.82,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Office Stationery,People Places & Serv Direct,The Colour Centre,H57720160106rocbawlgu,377.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Office Stationery,People Places & Serv Direct,Screwfix Direct,H57720160106tdcggmlig,45.22,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Other,People Places & Serv Direct,Poundland.Co.Uk,H57720160106imacpcuws,12.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/01/2016,Career Development Services,People Places & Serv Direct,Amazon UK Marketplace,H57720160105swjghhvfc,6.78,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/01/2016,Career Development Services,People Places & Serv Direct,Amazon UK Marketplace,H57720160105cwoqpnjno,10.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/01/2016,Seminars and Confereces,People Places & Serv Direct,Coveritlive Scribbl,H57720160105mhrdnhsfg,34.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,Minor Works-Goods,People Places & Serv Direct,Newey & Eyre,H57720160126ibxatxrxe,1044.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Minor Works-Goods,People Places & Serv Direct,Zurich Insurance P,H57720160120cepxkbigi,1166.09,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,T&S O-seas excl EPOQUE,International Policy Directorate,Hrg UK Inm165926021,H57720160116jzbfcyujn,6.22,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,T&S O-seas excl EPOQUE,International Policy Directorate,Easyjet,H57720160114mfvnqbswg,183.17,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Entertainment,International Policy Directorate,Www.Intecoffice.Co.Uk,H57720160127liiopipnm,204.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Hrg UK Inm165936846,H57720160129mujtqoyon,5.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Easyjet,H57720160126ywvcyfvdi,54.65,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Easyjet,H57720160126cgigahnrw,24.48,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Www.Hxpayments.Com,H57720160126hnzwhmgzl,39.48,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Easyjet,H57720160126ublysmrob,54.65,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Easyjet,H57720160126uendbbrti,24.48,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S O-seas excl EPOQUE,Patent Directorate,Ncp Birmingham Airport,H57720160126vpafnguld,49.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/01/2016,T&S UK,Patent Directorate,Bristol Airport Limite,H57720160116qxcvoghpw,21.21,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,T&S UK,Patent Directorate,Hrg UK Inm165920597,H57720160112ckizijjge,5.47,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,T&S UK,Patent Directorate,Easyjet,H57720160108finelsifr,58.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,T&S UK,Patent Directorate,Hrg UK Inm165936836,H57720160129kysrgixiy,5.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Books,Patent Directorate,Amazon UK Retail,H57720160120rnxmiqbdb,52.22,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/01/2016,Books,Patent Directorate,Amazon UK Marketplace,H57720160115mqfmxcbkd,14.78,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Books,Patent Directorate,Pharmaceutical Press,H57720160106ewnnqqpet,50.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160130uhpjuvssi,-327.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160130ukjlwamjh,-30.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160130fkncggjwu,-230.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160130jbpdoqojh,-265.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160123wdwvwbhzr,-190.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160123qhvodrxjk,-5.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160123ghotahjqg,-210.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160123ifunruurw,-180.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160119cvjuabjan,30.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/01/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160119bibnucywl,5.00,Not Applicable,
