Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,International Subscriptions,EMI - ORED,NATIONAL RENEWABLE ENERGY LABORATORY,4027701,"3,178.98"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,ICT Infrastructure Specific Service,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027702,"2,024.14"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4027703,928.26
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4027704,645.91
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027705,564.43
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027706,609.29
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Cash Expenditure during the Year - Concessionary Fuel,EMI - Energy Development,CPL DISTRIBUTION LTD T/A CPL FUELS,4027713,"1,279,990.96"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Hire of Conference Facilities,EMI - Energy Strategy & Futures/Electricity Market Reform,15 HATFIELDS LTD,4027715,528
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Capital Grants to Private Sector - Own Asset Creation,ICCEE - Green Deal,THE CARBON TRUST,4027723,"6,450,663.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Other IT Costs,Operations - Communications,ACTICA CONSULTING LTD,4027725,"5,767.42"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payments - ,HM REVENUE & CUSTOMS,4027726,"1,844.54"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Board Members Tax Deductions (Suspense Account),Corporate Payments - ,HM REVENUE & CUSTOMS,4027727,"2,151.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4027728,"100,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Current Grants to Local Authorities,EMI - OND,COPELAND BOROUGH COUNCIL,4027729,"676,399.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Publications,EMI - Energy Development,SWEET NEWS,4027736,"1,000.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Application Support Service,Operations - Finance and Procurement,FIVIUM LTD,4027737,"1,592.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4027739,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,External Training,Operations - HR,AEA TECHNOLOGY plc,4027740,"5,406.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4027741,"2,942.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Performance and Planning,OFFICE ANGELS LTD,4027743,886.36
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4027745,592.27
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4027747,612.84
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4027748,567.6
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027749,"22,667.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Senior Civil Service Training,EMI - EMI DG Office,GEEMA CONSULTING,4027751,"5,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027756,"9,708.97"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027757,"6,385.14"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027758,"5,706.56"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,International Subscriptions,ICCEE - International Climate Change,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4027760,"144,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,International Subscriptions,ICCEE - International Climate Change,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4027761,"263,070.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4027762,"22,504.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Office Equipment,Operations - Finance and Procurement,COPIERTEC LTD,4027763,766.58
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027764,999
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027765,558
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027767,506.4
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027768,874.8
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,External Training (Programme),EMI - Energy Development,PETROFAC TRAINING LTD,4027770,"3,305.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4027772,"5,409.29"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4027775,"44,245.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Application Development,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027778,"3,656.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Other Staff Costs,ICCEE - International Climate Change,LINDORFF AS,4027784,661.45
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4027785,824.99
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hospitality - UK,ICCEE - Heat & Industry,CABINET OFFICE,4027786,851.37
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,ICCEE - Fuel Poverty & Smart Meters,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4027787,"22,481.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,ICCEE - Fuel Poverty & Smart Meters,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4027788,"33,501.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,ICCEE - Fuel Poverty & Smart Meters,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4027789,"60,959.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Secondees (not paid directly),SEG Including Strategy - CSA - Private Office & Director,UNIVERSITY OF CAMBRIDGE,4027790,"11,921.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Amount owed by DECC to BIS for recharged services,Central Budgets - Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4027792,"73,842.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027793,707.04
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027794,883.8
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027795,883.8
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027796,883.8
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Outsourced Technical Support (Programme),SEG Including Strategy - Energy Innovation Policy,UNIVERSITY OF OXFORD,4027797,764.83
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Furniture,Operations - Finance and Procurement,SENATOR INTERNATIONAL LTD,4027814,"2,346.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027815,"3,392.43"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027816,"3,573.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027817,"3,468.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027819,"8,614.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Outsourced Technical Support (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4027821,"10,763.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hospitality - UK,Operations - Performance and Planning,IFG ENTERPRISES LTD,4027822,737.4
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027823,"4,007.52"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Car Hire and Leasing,Private Office - Private Office,GOVERNMENT CAR AND DESPATCH AGENCY,4027827,630
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Private Office - Private Office,MANPOWER UK LTD,4027828,"1,008.84"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4027829,765.07
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of IT Equipment (Programme),EMI - Energy Development,AVC CREATIVE LTD,4027840,"7,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Capital Grants - Other,EMI - ORED,JDR CABLE SYSTEMS LTD,4027845,"379,711.63"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Professional Subscriptions,Operations - HR,INSTITUTE FOR EMPLOYMENT STUDIES,4027846,"5,875.00"
