Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4014796,"£5,688",29401
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,Others UK T&S (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4015254,"£5,671",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Technical Advice,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4015032,"£5,619",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014502,"£5,434",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4014488,"£5,399",31663
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014690,"£5,205",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4014972,"£5,176",1806
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,IC CONSULTANTS LTD,4014663,"£5,000",127995
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4014643,"£4,977",6264
Department For Energy and Climate Change,Department For Energy and Climate Change,28/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,IMPERIAL COLLEGE LONDON,4015298,"£4,750",5630
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,GOVERNMENT ACTUARYS DEPARTMENT,4014979,"£4,735",101636
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4014505,"£4,700",13808
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4015097,"£4,576",105278
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Advertising,Energy Markets & Infrastructure - Security and resilience,PETER LOCKYER ADVERTISING LTD,4014997,"£4,542",762
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4015016,"£4,513",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014782,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014783,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014784,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4015223,"£4,406",105744
