Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £291,837 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Local IT Maintenance & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4014321," £37,685 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,BLOOMBERG FINANCE L.P.,4013965," £3,676 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,BLOOMBERG FINANCE L.P.,4013965," £3,129 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4014230, £573 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014365," £1,220 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014346, £867 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014366, £867 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hotels,International Energy & Climate Change - International Energy & Carbon Budgets,THE ROYAL HORSEGUARDS HOTEL LTD,4014030," £2,631 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,TAJIKISTAN ACADEMY OF SCIENCES,4014260," £5,688 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,TAJIKISTAN ACADEMY OF SCIENCES,4014260," £1,422 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014349," £1,993 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014349," £1,696 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014349, £635 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014349, £541 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4014348," £1,710 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4014334," £2,153 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4014333," £2,143 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4014334, £526 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014310, £681 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014310, £681 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014341, £643 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014303, £619 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014344, £612 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014312, £596 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014312, £596 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014342, £581 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014342, £581 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4014350, £552 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014354, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4014368," £4,616 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014369," £46,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014369," £5,875 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4014353," £32,683 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014253," £121,885 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014255," £106,844 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4014364," £20,444 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EDF ENERGY plc,4014347," £72,343 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4014331," £16,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014359," £187,748 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014358," £79,360 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014358," £79,360 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4014225, £930 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4014225, £910 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Economic Consultancy and Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BOOZ & COMPANY (UK) LTD,4014345," £64,804 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014019," £3,212 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014024," £2,569 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Other Overseas T&S,Energy Markets & Infrastructure - Security and resilience,AUSTRIA CENTRE (VIENNA),4014232, £795 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4014332," £4,653 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4014330," £2,585 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4014242, £715 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4014069, £612 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,VEGA CONSULTING SERVICES LTD,4014326," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4014352," £7,585,600 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,Reed Personnel Services Ltd,4014375, £523 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4014373," £1,763 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014306, £639 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014306, £639 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014356, £595 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014370," £6,874 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014335," £22,952 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014335," £22,952 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,ICT Maintenance & Upkeep,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014335," £3,548 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,ICT Maintenance & Upkeep,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014335," £3,548 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014397," £19,699 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014397," £2,464 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014388," £2,410 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014388," £2,410 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014390," £2,410 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014393," £2,410 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,GOVERNMENT ACTUARYS DEPARTMENT,4014417," £3,130 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4014405," £63,553 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,ENVIRONMENT AGENCY,4014389," £1,049,157 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014394," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014392," £1,013 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - DECC Commercial Team,BT CONFERENCING,4014401," £100,253 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,IT Services (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,BRAVOSOLUTION UK LTD,4014404," £25,144 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,IT Services (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,BRAVOSOLUTION UK LTD,4014404," £25,144 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Technical Services,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4014378," £20,005 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/05/2010,Outsourced Technical Support (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4014360," £88,743 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Internal Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ZOO ENTERPRISES LTD,4014425," £1,850 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4014444," £2,348 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Technical Advice,Energy Markets & Infrastructure - Energy Development Unit,THE PLANNING INSPECTORATE,4014410," £5,040 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014380, £978 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014379, £905 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014381, £702 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014436, £674 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014385, £668 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014382, £662 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014437, £662 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014383, £634 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014384, £571 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4014435, £569 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014434, £503 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4014452," £2,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,External Training,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,NATIONAL SCHOOL OF GOVERNMENT,4014426, £725 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014430," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4014460," £2,938 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4014460," £2,875 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014413," £54,722 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014415," £22,426 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014415," £7,574 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014411," £5,583 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014416," £1,857 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Corporate Management Consultancy,Energy Markets & Infrastructure - Office of Nuclear Development,ERNST & YOUNG LLP,4014420," £3,949 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Senior Civil Service Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CENTRE FOR PARLIAMENTARY STUDIES LTD,4014414, £800 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013554," £13,217 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Entertaining UK,Energy Markets & Infrastructure - Energy Development Unit,CASTLETON HOUSE HOTEL LTD T/A RAEMOIR HOUSE HOTEL,4014459," £1,797 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014454," £87,856 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014453," £12,909 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,BROOK STREET (UK) LTD,4014424, £781 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,BRODIES SOLICITORS,4014419, £728 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4014412," £7,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,ADECCO UK LTD,4014407, £547 
