Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Oct-2011,Outsourced Programme Management Services,ICCEE - Heat & Industry,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4028855,"103,232.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4028975,"5,290.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Economics,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4029188,"76,820.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,C22 PLC,4029099,"1,750.56"
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Oct-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,C22 PLC,4029250,"2,100.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Parliamentary Counsel Services (Cabinet Office),Operations - Legal,CABINET OFFICE,4028720,"149,416.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Oct-2011,Air Fares,Private Office - Private Office,CABINET OFFICE,4029300,"7,910.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Technical Advice / Services & Support,SEG Including Strategy - Economics,CAMBRIDGE ECONOMETRICS LTD,4029422,"12,125.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Oct-2011,Economic Consultancy & Research,EMI - ORED,CAMBRIDGE ECONOMIC POLICY ASSOCIATES LTD,4029253,"41,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Hire of Reprographic Equipment,Operations - Finance and Procurement,CANON (UK) LTD,4029489,"1,472.87"
