,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,ARGUS MEDIA LTD,4025597,"3,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,METHODS CONSULTING LTD,4025603,975.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,METHODS CONSULTING LTD,4025605,"7,923.91 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Conference and Exhibition Services (Programme),Energy Markets & Infrastructure - Energy Development Unit,HILTON GARDEN INN ABERDEEN CITY CENTRE,4025606,"2,994.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4025607,537.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4025607,549.41 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4025608,"119,624.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4025609,"44,152.85 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4025612,"1,225.35 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - National Climate Change,THE ENERGY SAVING TRUST LTD,4025612,"25,717.15 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4025614,"1,482.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4025615,"159,369.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4025616,"6,133,359.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4025618,"2,006,993.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025619,716.20 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4025621,"10,170.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4025623,816.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025624,840.05 
