,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026079,745.21 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026080,808.55 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026081,506.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4026082,751.21 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026083,"4,583.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF BRISTOL,4026084,"136,219.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026085,847.37 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026087,"2,118.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026088,"2,756.59 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026089,"4,095.17 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,HM REVENUE & CUSTOMS,4026090,820.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4026091,515.30 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,SPACE CONNEXIONS LTD,4026093,"108,155.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,SPACE CONNEXIONS LTD,4026094,"88,755.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026095,"49,999.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026096,"17,454.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026097,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026099,"16,209.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026101,596.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026103,"2,257.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026105,"3,455.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026106,"1,289.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026107,"5,480.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026108,707.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,REED BUSINESS INFORMATION LTD,4026109,"21,245.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Publications,Strategy - Strategy and Delivery Unit,HM REVENUE & CUSTOMS,4026111,820.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026112,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4026116,"11,410.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4026119,991.75 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026123,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026127,645.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026128,612.84 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026129,658.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Maintenance,Corporate Support & Shared Services - Corporate Support & Shared Services,INTERFACE EUROPE LTD,4026133,"42,310.65 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Maintenance,Corporate Support & Shared Services - Corporate Support & Shared Services,INTERFACE EUROPE LTD,4026133,"1,063.16 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4026135,"17,873.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4026135,"17,873.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4026136,"29,306.89 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4026136,"30,581.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4026137,974.40 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4026137,"7,320.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4026138,743.90 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4026139,"9,085.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4026140,604.87 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4026144,641.63 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026146,815.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4026149,785.87 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4026152,608.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026155,649.86 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026156,641.63 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Research & Development Expenditure (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,UNIVERSITY OF SUSSEX,4026157,"2,068.71 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Research & Development Expenditure (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,UNIVERSITY OF SUSSEX,4026157,"1,018.41 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026163,702.97 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026166,648.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,HAWKSMERE LTD T/A KAPLAN HAWKSMERE,4026167,"3,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026168,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026169,550.15 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026172,703.32 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026173,605.75 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Grants - Current - Other,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,IMPERIAL COLLEGE LONDON,4026175,"6,871.84 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PESGB,4026176,"5,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4026178,"22,017.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4026178,550.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4026181,"3,118.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4026182,"11,998.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Conference Facilities (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CIVIL SERVICE CLUB,4026183,642.20 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,POSTURITE UK LTD,4026184,829.32 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",METHODS CONSULTING LTD,4026186,"6,955.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,THE PLANNING INSPECTORATE,4026187,681.12 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,CARLETON FURNITURE GROUP LTD,4026189,"38,283.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4026190,"1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026191,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4026194,687.31 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026195,722.11 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026196,925.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WAKE UP LTD,4026197,875.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WAKE UP LTD,4026198,735.20 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WAKE UP LTD,4026199,887.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WAKE UP LTD,4026200,887.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4026209,"1,501.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026210,"4,707.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4026214,"1,170.31 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026215,"8,500,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4026216,665.28 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Recruitment Advice and Services,Energy Markets & Infrastructure - Energy Development Unit,TMP (UK) LTD T/A TMP WORLDWIDE,4026219,769.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Recruitment Advice and Services,Energy Markets & Infrastructure - Energy Development Unit,TMP (UK) LTD T/A TMP WORLDWIDE,4026219,768.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Recruitment Advice and Services,Energy Markets & Infrastructure - Energy Development Unit,TMP (UK) LTD T/A TMP WORLDWIDE,4026220,"3,859.09 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4026221,532.22 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026222,"6,910.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE WASTE & RESOURCES ACTION PROGRAMME (WRAP),4026227,"734,249.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4026228,"1,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4026230,"1,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4026238,"128,549.13 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4026239,"1,695.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4026240,"2,825.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4026242,"2,787.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Conference and Exhibition Services (Programme),Energy Markets & Infrastructure - Energy Development Unit,AVC CREATIVE LTD,4026244,"2,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS DEPARTMENT,4026246,"31,330.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL AUDIT OFFICE,4026250,"8,247.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026254,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Recruitment Advice and Services,Energy Markets & Infrastructure - Energy Development Unit,TMP (UK) LTD T/A TMP WORLDWIDE,4026255,"1,841.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,External Training,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THRESHOLDS LTD,4026256,"1,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4026257,608.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026259,916.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4026262,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,GIROBANK plc,4026265,"11,492.52 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - Security and resilience,CESG,4026270,"3,542.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,BRIAR ASSOCIATES,4026272,"13,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4026273,"5,650.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4026274,"1,100.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026286,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Contributions (Programme),Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4026288,"10,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026289,"2,214.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026295,740.36 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4026296,917.06 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Other IT Costs (Programme),National Climate Change & Consumer Support - Communications,E CHRISTIAN & COMPANY LTD T/A EC GROUP,4026298,851.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4026299,624.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4026300,931.39 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026304,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026305,"1,692.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Professional Training,ICCEE - International Climate Change,WILTON PARK INTERNATIONAL CONFERENCES,4026307,"1,540.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026311,"6,854.76 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4026312,"48,224.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4026313,833.98 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026314,"18,252.61 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,GAS STRATEGIES GROUP LTD,4026318,"1,380.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026319,"1,612.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4026320,"14,820.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026321,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026322,"1,157.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026323,"350,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4026324,"2,260.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4026325,900.50 
