Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BROOK STREET (UK) LTD,4016867,£614,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016576,£612,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016580,£612,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4016494,£608,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017046,£604,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017041,£604,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016328,£600,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016928,£600,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016928,£600,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4016899,£600,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,ADECCO UK LTD,4016741,£598,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016953,£596,105278
