Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,MOTT MACDONALD LTD,4015796,"£15,283",10932
Department For Energy and Climate Change,Department For Energy and Climate Change,02/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,ROCKFIELD SOFTWARE LTD,4015447,"£15,177",30651
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4015624,"£15,000",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,OHM LTD,4015793,"£15,000",23582
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015681,"£14,960",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4015808,"£14,511",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,STONECOURT CONSULTING LTD,4015629,"£14,473",31789
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Technical Services,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4015921,"£14,461",135767
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4015785,"£14,457",128367
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS DEPARTMENT,4015911,"£14,442",104224
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4015578,"£14,410",123686
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4016183,"£14,375",116136
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,NCIMB LTD,4015850,"£14,067",119254
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4015623,"£13,811",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4015459,"£13,733",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,JACOBS ENGINEERING UK LTD,4015832,"£13,672",34678
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Outsourced Programme Management Services,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015820,"£13,554",310
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4016254,"£13,395",36993
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4015474,"£12,969",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4015448,"£12,925",32453
