,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,"UNIVERSITY OF WALES, BANGOR",4026990,"4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,SMRU LTD,4026992,"44,191.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026993,767.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,SMRU LTD,4026994,"28,794.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026995,"5,071.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4027004,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027007,"5,075.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027008,"10,236.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027008,"10,236.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4027009,"1,119.38 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027011,586.35 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027012,682.87 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027014,767.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027015,504.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027019,"2,301.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Hire of Reprographic Equipment,Operations - Finance and Procurement,SIEMENS FINANCIAL SERVICES LTD,4027020,"2,995.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4027021,"1,026.43 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4027022,591.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4027026,"30,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Public Relations & Marketing Advice & Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",COI COMMUNICATIONS,4027028,"70,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,ALLEN LANE LTD,4027035,"10,632.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4027041,"57,140.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Car Hire and Leasing,Private Office - Private Office,GOVERNMENT CAR AND DESPATCH AGENCY,4027044,713.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4027046,"1,050.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Economic Consultancy & Research,EMI - Energy Strategy & Futures/Electricity Market Reform,REDPOINT ENERGY LTD,4027047,"5,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4027051,585.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4027059,"2,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4027060,"1,800.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4027061,"1,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4027062,"1,800.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4027063,"2,750.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Application Support Service,Operations - Finance and Procurement,PARITY RESOURCES LTD,4027064,967.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Recruitment Advice and Services,EMI - Energy Development,HAYS SPECIALIST RECRUITMENT LTD,4027076,"5,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Outsourced Programme Management Services,EMI - Energy Development,CEFAS-THE CENTRE FOR ENVIRONMENT FISHERIES & AQUACULTURE SCIENCE,4027078,"132,717.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4027089,700.88 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4027094,"122,805.48 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4027095,"85,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4027096,"41,910.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4027097,"2,467.71 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,OVE ARUP & PARTNERS INTERNATIONAL LTD,4027099,"21,282.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4027113,"8,404.08 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Rates,Operations - Finance and Procurement,DTZ DEBENHAM TIE LEUNG,4027114,"1,690,845.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,DECC Only  - Shared Services - Professional Services,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4027115,"4,300.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4027116,"7,249.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Contributions (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4027118,"130,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,DECC Only  - Shared Services - Professional Services,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4027123,"9,728.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4027124,"1,723.68 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,External Training,Strategy - Strategy and Delivery Unit,NATIONAL SCHOOL OF GOVERNMENT,4027127,925.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4027128,"2,380.00 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
