,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Purchase of Office Machinery,Corporate Support & Shared Services - Corporate Support & Shared Services,DON RUFFLES LTD,4026418,934.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Public Relations & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,THE ROYAL SOCIETY,4026419,"12,847.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Other Overseas Travel & Subsistence,Energy Markets & Infrastructure - Security and resilience,AUSTRIA CENTRE (VIENNA),4026420,"1,116.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4026421,"4,500.57 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4026423,"13,528.29 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026424,"21,293.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026425,"35,601.94 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026425,"35,601.94 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026426,"43,393.53 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4026427,"38,531.27 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4026428,"59,713.68 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,ATKINS LTD,4026431,"27,129.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4026432,"11,921.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4026433,"15,990.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026434,"12,739.53 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,ERNST & YOUNG LLP,4026436,"6,999.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026437,"3,984.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026438,"24,867.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Contract Management,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY ENVIRONMENT,4026439,"9,551.09 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4026440,"65,895.77 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Accommodation Rentals,Operations - Finance and Procurement,XEROX FINANCE LTD,4026441,847.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Contributions (Programme),Energy Markets & Infrastructure - Energy Development Unit,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4026445,750.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026447,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Amount owed by DECC to BIS for recharged services,DECC Central Budgets - DECC Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4026448,"37,625.19 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4026451,900.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4026459,"60,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026460,"14,817.82 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4026461,"3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026462,"9,750.00 "
