Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Economic Consultancy & Research,EMI - Energy Strategy & Futures/Electricity Market Reform,URBAN MONK LTD,4028172,"1,600.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Mobile Phones,Operations - Finance and Procurement,VODAFONE LTD,4028074,"52,585.92 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Mobile Phones,Operations - Finance and Procurement,VODAFONE LTD,4028076,"6,071.42 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Other UK Travel & Subsistence,Operations - Communications,WALLACESPACE LTD,4028313,"1,148.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,WORKFLOW CONSULTING LTD,4028535,"2,961.30 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,WORKFLOW CONSULTING LTD,4028536,"2,961.30 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,WORKFLOW CONSULTING LTD,4028538,"4,329.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,WORKFLOW CONSULTING LTD,4028545,"5,992.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Capital Grants to Private Sector - Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,WYG ENGINEERING LTD,4028155,"18,104.16 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4027968,837.17 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4028103,707.04 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4028405,883.80 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4028406,707.04 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4028565,883.80 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4028567,883.80 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4028685,837.17 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4028686,846.98 ,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
