Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028131,"16,638.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028135,"3,326.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028421,"5,959.15 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028426,"7,438.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Accounting Services,Operations - Finance and Procurement,CRS VAT CONSULTING LTD,4028698,"5,762.66 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4028107,"1,599.96 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4028403,"1,450.97 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4028032,"100,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4028528,"5,919,534.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4028528,"2,280,466.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,DECC Only  - Shared Services - Accommodation,Operations - Finance and Procurement,DEFRA,4028428,"1,467.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,DECC Only  - Shared Services - Accommodation,Operations - Finance and Procurement,DEFRA,4028429,"21,670.42 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Professional Subscriptions,ICCEE - Green Deal,DELOITTE MCS LTD,4028366,"64,500.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Grants - Current - Other,ICCEE - Heat & Industry,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4028123,"6,750,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Amount owed by DECC to BIS for recharged services,Central Budgets - Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4028587,"114,403.78 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Season Ticket and Bicycle Loans,EMI - OCCS,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,4028664,772.80 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,Operations - HR,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),4028708,"2,250.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Purchase of Office Machinery,Operations - Finance and Procurement,DON RUFFLES LTD,4028302,"1,869.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Approved Pensions Awarding Centres (DWP),Operations - HR,DWP (DEPARTMENT FOR WORK AND PENSIONS),4027933,"5,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Mobile Call Charges,EMI - Energy Development,DYFED ARCHAEOLOGICAL TRUST LTD,4028580,"2,730.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,External Training,Operations - HR,DYNAMIC LEARNING SOLUTIONS LTD,4028347,"1,247.20 ",,,
